Text,Tokenized,Cleaned_Tokens,Sentiment
take care always god bless,"['take', 'care', 'always', 'god', 'bless']","['take', 'care', 'always', 'god', 'bless']",1
kids sad think cancer patient feel suffer life painful journey emotional physical,"['kids', 'sad', 'think', 'cancer', 'patient', 'feel', 'suffer', 'life', 'painful', 'journey', 'emotional', 'physical']","['kid', 'sad', 'think', 'cancer', 'patient', 'feel', 'suffer', 'life', 'painful', 'journey', 'emotional', 'physical']",0
wear wig see cooking scalp used treatment,"['wear', 'wig', 'see', 'cooking', 'scalp', 'used', 'treatment']","['wear', 'wig', 'see', 'cooking', 'scalp', 'used', 'treatment']",1
take 90 supplements chemotherapy makeing people get cancer choice decision pray name jesus get strong mighty name jesus,"['take', '90', 'supplements', 'chemotherapy', 'makeing', 'people', 'get', 'cancer', 'choice', 'decision', 'pray', 'name', 'jesus', 'get', 'strong', 'mighty', 'name', 'jesus']","['take', 'supplement', 'chemotherapy', 'makeing', 'people', 'get', 'cancer', 'choice', 'decision', 'pray', 'name', 'jesus', 'get', 'strong', 'mighty', 'name', 'jesus']",2
7 year old going weekly 52 possibly 70 weeks thank god least working hard standing go,"['year', 'old', 'going', 'weekly', '52', 'possibly', '70', 'weeks', 'thank', 'god', 'least', 'working', 'hard', 'standing', 'go']","['year', 'old', 'going', 'weekly', 'possibly', 'week', 'thank', 'god', 'least', 'working', 'hard', 'standing']",0
even young facing chemo suffering imagine mom age 73 goes several chemo breaks heart see dying away rejecting chemo session consoled depressed accept death peace body may breaks spirit eternal,"['even', 'young', 'facing', 'chemo', 'suffering', 'imagine', 'mom', 'age', '73', 'goes', 'several', 'chemo', 'breaks', 'heart', 'see', 'dying', 'away', 'rejecting', 'chemo', 'session', 'consoled', 'depressed', 'accept', 'death', 'peace', 'body', 'may', 'breaks', 'spirit', 'eternal']","['even', 'young', 'facing', 'chemo', 'suffering', 'imagine', 'mom', 'age', 'several', 'chemo', 'break', 'heart', 'see', 'dying', 'away', 'rejecting', 'chemo', 'session', 'consoled', 'depressed', 'accept', 'death', 'peace', 'body', 'may', 'break', 'spirit', 'eternal']",1
ti voglio bene,"['ti', 'voglio', 'bene']","['voglio', 'bene']",1
2 2 million views average 5 views per video lol,"['million', 'views', 'average', 'views', 'per', 'video', 'lol']","['million', 'view', 'average', 'view', 'per', 'video', 'lol']",2
got girl strong,"['got', 'girl', 'strong']","['got', 'girl', 'strong']",2
young lady brave sending hugs kisses,"['young', 'lady', 'brave', 'sending', 'hugs', 'kisses']","['young', 'lady', 'brave', 'sending', 'hug', 'kiss']",2
technoblade never dies,"['technoblade', 'never', 'dies']","['technoblade', 'never']",1
happy thanksgiving praying sending love prayers,"['happy', 'thanksgiving', 'praying', 'sending', 'love', 'prayers']","['happy', 'thanksgiving', 'praying', 'sending', 'love', 'prayer']",2
type cristina sanchez cannabis cancer research research research,"['type', 'cristina', 'sanchez', 'cannabis', 'cancer', 'research', 'research', 'research']","['type', 'cristina', 'sanchez', 'cannabis', 'cancer', 'research', 'research', 'research']",1
happy see loving husband cares beside may god bless happy long life,"['happy', 'see', 'loving', 'husband', 'cares', 'beside', 'may', 'god', 'bless', 'happy', 'long', 'life']","['happy', 'see', 'loving', 'husband', 'care', 'beside', 'may', 'god', 'bless', 'happy', 'long', 'life']",2
ive iv know feeling,"['ive', 'iv', 'know', 'feeling']","['ive', 'know', 'feeling']",1
sending positive vibes strong,"['sending', 'positive', 'vibes', 'strong']","['sending', 'positive', 'vibe', 'strong']",2
also cml blood cancer jesus christ great prise lord,"['also', 'cml', 'blood', 'cancer', 'jesus', 'christ', 'great', 'prise', 'lord']","['also', 'cml', 'blood', 'cancer', 'jesus', 'christ', 'great', 'prise', 'lord']",3
chemo makes sicker go slowly say smoking wees watching weeds,"['chemo', 'makes', 'sicker', 'go', 'slowly', 'say', 'smoking', 'wees', 'watching', 'weeds']","['chemo', 'make', 'sicker', 'slowly', 'say', 'smoking', 'wee', 'watching', 'weed']",0
mum rchop doxarubicin gross stuff also knows mean taste saline hope well,"['mum', 'rchop', 'doxarubicin', 'gross', 'stuff', 'also', 'knows', 'mean', 'taste', 'saline', 'hope', 'well']","['mum', 'rchop', 'doxarubicin', 'gross', 'stuff', 'also', 'know', 'mean', 'taste', 'saline', 'hope', 'well']",0
challenging time appreciate much dr ogoh created life thought lost thank much curing cancer disease,"['challenging', 'time', 'appreciate', 'much', 'dr', 'ogoh', 'created', 'life', 'thought', 'lost', 'thank', 'much', 'curing', 'cancer', 'disease']","['challenging', 'time', 'appreciate', 'much', 'ogoh', 'created', 'life', 'thought', 'lost', 'thank', 'much', 'curing', 'cancer', 'disease']",2
couple triplets,"['couple', 'triplets']","['couple', 'triplet']",1
red devil use call taxotere red chemo med infused peeing red orange hrs also med turned pee blue green 8 months chemo 35 radiation treatments cancer free 15 yrs thank goodness,"['red', 'devil', 'use', 'call', 'taxotere', 'red', 'chemo', 'med', 'infused', 'peeing', 'red', 'orange', 'hrs', 'also', 'med', 'turned', 'pee', 'blue', 'green', 'months', 'chemo', '35', 'radiation', 'treatments', 'cancer', 'free', '15', 'yrs', 'thank', 'goodness']","['red', 'devil', 'use', 'call', 'taxotere', 'red', 'chemo', 'med', 'infused', 'peeing', 'red', 'orange', 'also', 'med', 'turned', 'pee', 'blue', 'green', 'month', 'chemo', 'radiation', 'treatment', 'cancer', 'free', 'thank', 'goodness']",1
go girl,"['go', 'girl']",['girl'],1
new ideas brings hope stop chemo use left kingship fight newly punished lulu author kevin anaekwe,"['new', 'ideas', 'brings', 'hope', 'stop', 'chemo', 'use', 'left', 'kingship', 'fight', 'newly', 'punished', 'lulu', 'author', 'kevin', 'anaekwe']","['new', 'idea', 'brings', 'hope', 'stop', 'chemo', 'use', 'left', 'kingship', 'fight', 'newly', 'punished', 'lulu', 'author', 'kevin', 'anaekwe']",1
oh pretty delia strong,"['oh', 'pretty', 'delia', 'strong']","['pretty', 'delia', 'strong']",2
boo gonna make sure everything new imma put brand new coop,"['boo', 'gonna', 'make', 'sure', 'everything', 'new', 'imma', 'put', 'brand', 'new', 'coop']","['boo', 'gonna', 'make', 'sure', 'everything', 'new', 'imma', 'put', 'brand', 'new', 'coop']",2
great husband iron man one angel,"['great', 'husband', 'iron', 'man', 'one', 'angel']","['great', 'husband', 'iron', 'man', 'one', 'angel']",3
speak english subirles please,"['speak', 'english', 'subirles', 'please']","['speak', 'english', 'subirles', 'please']",1
always get gauze tape bandaids tear skin,"['always', 'get', 'gauze', 'tape', 'bandaids', 'tear', 'skin']","['always', 'get', 'gauze', 'tape', 'bandaids', 'tear', 'skin']",1
also got chemotherapy infusion coincidence also cancer time 2021 time 15 years old indian,"['also', 'got', 'chemotherapy', 'infusion', 'coincidence', 'also', 'cancer', 'time', '2021', 'time', '15', 'years', 'old', 'indian']","['also', 'got', 'chemotherapy', 'infusion', 'coincidence', 'also', 'cancer', 'time', '2021', 'time', 'year', 'old', 'indian']",1
dad lungcancer 22 years ago 6 chemotrratments right lung removed survived tough ride worth taking evryone pulls know help sure good luck everyone go,"['dad', 'lungcancer', '22', 'years', 'ago', 'chemotrratments', 'right', 'lung', 'removed', 'survived', 'tough', 'ride', 'worth', 'taking', 'evryone', 'pulls', 'know', 'help', 'sure', 'good', 'luck', 'everyone', 'go']","['dad', 'lungcancer', 'year', 'ago', 'chemotrratments', 'right', 'lung', 'removed', 'survived', 'tough', 'ride', 'worth', 'taking', 'evryone', 'pull', 'know', 'help', 'sure', 'good', 'luck', 'everyone']",2
dr dagba youtube gave cure used cancer living better really appreciate drdagba,"['dr', 'dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']","['dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']",2
dr dagba youtube gave cure used cancer living better really appreciate drdagba,"['dr', 'dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']","['dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']",2
12 58 hello im spare account cant go without saying dexamethasone steroid iv took covid great,"['12', '58', 'hello', 'im', 'spare', 'account', 'cant', 'go', 'without', 'saying', 'dexamethasone', 'steroid', 'iv', 'took', 'covid', 'great']","['hello', 'spare', 'account', 'cant', 'without', 'saying', 'dexamethasone', 'steroid', 'took', 'covid', 'great']",3
love every cancer patients get well soon god bless proud,"['love', 'every', 'cancer', 'patients', 'get', 'well', 'soon', 'god', 'bless', 'proud']","['love', 'every', 'cancer', 'patient', 'get', 'well', 'soon', 'god', 'bless', 'proud']",2
glad great support system looking great 14 years cancer free aggressive one lymph node left arm,"['glad', 'great', 'support', 'system', 'looking', 'great', '14', 'years', 'cancer', 'free', 'aggressive', 'one', 'lymph', 'node', 'left', 'arm']","['glad', 'great', 'support', 'system', 'looking', 'great', 'year', 'cancer', 'free', 'aggressive', 'one', 'lymph', 'node', 'left', 'arm']",2
hated would flush port could taste alcohol,"['hated', 'would', 'flush', 'port', 'could', 'taste', 'alcohol']","['hated', 'would', 'flush', 'port', 'could', 'taste', 'alcohol']",4
cant understand people dont listen jesus happy heatly,"['cant', 'understand', 'people', 'dont', 'listen', 'jesus', 'happy', 'heatly']","['cant', 'understand', 'people', 'dont', 'listen', 'jesus', 'happy', 'heatly']",3
tego nikt nie przewidzi każdy dzień należy boga,"['tego', 'nikt', 'nie', 'przewidzi', 'każdy', 'dzień', 'należy', 'boga']","['tego', 'nikt', 'nie', 'przewidzi', 'każdy', 'dzień', 'należy', 'boga']",1
jesus sister faith,"['jesus', 'sister', 'faith']","['jesus', 'sister', 'faith']",1
thanks dr harry herbs got youtube using time treat help get rid cancer herbs medicine got great meet dr harry herbs youtube keep great work lord god giving save life,"['thanks', 'dr', 'harry', 'herbs', 'got', 'youtube', 'using', 'time', 'treat', 'help', 'get', 'rid', 'cancer', 'herbs', 'medicine', 'got', 'great', 'meet', 'dr', 'harry', 'herbs', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']","['thanks', 'harry', 'herb', 'got', 'youtube', 'using', 'time', 'treat', 'help', 'get', 'rid', 'cancer', 'herb', 'medicine', 'got', 'great', 'meet', 'harry', 'herb', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']",2
bill forget humans full territory nations test global health hospital years sauved millions milliard humans result 2 catégory global search test hospital 1 humans great healthy need healing 2 humans great healthy need heelings forget test global health hospital 1 years sauved millions milliard deaths,"['bill', 'forget', 'humans', 'full', 'territory', 'nations', 'test', 'global', 'health', 'hospital', 'years', 'sauved', 'millions', 'milliard', 'humans', 'result', 'catégory', 'global', 'search', 'test', 'hospital', 'humans', 'great', 'healthy', 'need', 'healing', 'humans', 'great', 'healthy', 'need', 'heelings', 'forget', 'test', 'global', 'health', 'hospital', 'years', 'sauved', 'millions', 'milliard', 'deaths']","['bill', 'forget', 'human', 'full', 'territory', 'nation', 'test', 'global', 'health', 'hospital', 'year', 'sauved', 'million', 'milliard', 'human', 'result', 'catégory', 'global', 'search', 'test', 'hospital', 'human', 'great', 'healthy', 'need', 'healing', 'human', 'great', 'healthy', 'need', 'heelings', 'forget', 'test', 'global', 'health', 'hospital', 'year', 'sauved', 'million', 'milliard', 'death']",2
bill great retablissements cancers people earth lost much members familly life connaissances deaths manqued forget éternity like appréciate love peoples familly life conaissances life manqued heat dead loved deaths impossible watch listen regret speak watch deaths loved,"['bill', 'great', 'retablissements', 'cancers', 'people', 'earth', 'lost', 'much', 'members', 'familly', 'life', 'connaissances', 'deaths', 'manqued', 'forget', 'éternity', 'like', 'appréciate', 'love', 'peoples', 'familly', 'life', 'conaissances', 'life', 'manqued', 'heat', 'dead', 'loved', 'deaths', 'impossible', 'watch', 'listen', 'regret', 'speak', 'watch', 'deaths', 'loved']","['bill', 'great', 'retablissements', 'cancer', 'people', 'earth', 'lost', 'much', 'member', 'familly', 'life', 'connaissances', 'death', 'manqued', 'forget', 'éternity', 'like', 'appréciate', 'love', 'people', 'familly', 'life', 'conaissances', 'life', 'manqued', 'heat', 'dead', 'loved', 'death', 'impossible', 'watch', 'listen', 'regret', 'speak', 'watch', 'death', 'loved']",2
10 shots build white blood cells dr ordered shot 7 000 00 expensive thankfully medical insurance covered never use though nurse told day last chemo people afford shots really needed expensive since god let live cancer also let live cancer 5 years old came hospital igloo ice packs next day driving hour half donated shots ever needed shots came cold box refridgerated times safety seal drs break seals sitting fridge 6 mos chemo something give back help others lucky enough get shots free wanted help others fight girl got,"['10', 'shots', 'build', 'white', 'blood', 'cells', 'dr', 'ordered', 'shot', '000', '00', 'expensive', 'thankfully', 'medical', 'insurance', 'covered', 'never', 'use', 'though', 'nurse', 'told', 'day', 'last', 'chemo', 'people', 'afford', 'shots', 'really', 'needed', 'expensive', 'since', 'god', 'let', 'live', 'cancer', 'also', 'let', 'live', 'cancer', 'years', 'old', 'came', 'hospital', 'igloo', 'ice', 'packs', 'next', 'day', 'driving', 'hour', 'half', 'donated', 'shots', 'ever', 'needed', 'shots', 'came', 'cold', 'box', 'refridgerated', 'times', 'safety', 'seal', 'drs', 'break', 'seals', 'sitting', 'fridge', 'mos', 'chemo', 'something', 'give', 'back', 'help', 'others', 'lucky', 'enough', 'get', 'shots', 'free', 'wanted', 'help', 'others', 'fight', 'girl', 'got']","['shot', 'build', 'white', 'blood', 'cell', 'ordered', 'shot', '000', 'expensive', 'thankfully', 'medical', 'insurance', 'covered', 'never', 'use', 'though', 'nurse', 'told', 'day', 'last', 'chemo', 'people', 'afford', 'shot', 'really', 'needed', 'expensive', 'since', 'god', 'let', 'live', 'cancer', 'also', 'let', 'live', 'cancer', 'year', 'old', 'came', 'hospital', 'igloo', 'ice', 'pack', 'next', 'day', 'driving', 'hour', 'half', 'donated', 'shot', 'ever', 'needed', 'shot', 'came', 'cold', 'box', 'refridgerated', 'time', 'safety', 'seal', 'drs', 'break', 'seal', 'sitting', 'fridge', 'chemo', 'something', 'give', 'back', 'help', 'others', 'lucky', 'enough', 'get', 'shot', 'free', 'wanted', 'help', 'others', 'fight', 'girl', 'got']",1
1 john 4 4 god little children overcome greater world,"['john', 'god', 'little', 'children', 'overcome', 'greater', 'world']","['john', 'god', 'little', 'child', 'overcome', 'greater', 'world']",2
yes taste saline nasty remember port line thought grosses lol god bless,"['yes', 'taste', 'saline', 'nasty', 'remember', 'port', 'line', 'thought', 'grosses', 'lol', 'god', 'bless']","['yes', 'taste', 'saline', 'nasty', 'remember', 'port', 'line', 'thought', 'gross', 'lol', 'god', 'bless']",1
blessings,['blessings'],['blessing'],1
brave god bless,"['brave', 'god', 'bless']","['brave', 'god', 'bless']",3
well treatment kill,"['well', 'treatment', 'kill']","['well', 'treatment', 'kill']",1
got flatlined twice complicated pancreas cancer surgery dead 30 minutes hope ok,"['got', 'flatlined', 'twice', 'complicated', 'pancreas', 'cancer', 'surgery', 'dead', '30', 'minutes', 'hope', 'ok']","['got', 'flatlined', 'twice', 'complicated', 'pancreas', 'cancer', 'surgery', 'dead', 'minute', 'hope']",0
deus abençõe,"['deus', 'abençõe']","['deus', 'abençõe']",1
wow thanks sharing experience hope ok may god continues blessings life,"['wow', 'thanks', 'sharing', 'experience', 'hope', 'ok', 'may', 'god', 'continues', 'blessings', 'life']","['wow', 'thanks', 'sharing', 'experience', 'hope', 'may', 'god', 'continues', 'blessing', 'life']",2
ivermectin try god bless,"['ivermectin', 'try', 'god', 'bless']","['ivermectin', 'try', 'god', 'bless']",1
thanks dr harry herbs got youtube using time treatment help get rid cancer herbs medicine got great meet dr harry herbs youtube keep great work lord god giving save life,"['thanks', 'dr', 'harry', 'herbs', 'got', 'youtube', 'using', 'time', 'treatment', 'help', 'get', 'rid', 'cancer', 'herbs', 'medicine', 'got', 'great', 'meet', 'dr', 'harry', 'herbs', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']","['thanks', 'harry', 'herb', 'got', 'youtube', 'using', 'time', 'treatment', 'help', 'get', 'rid', 'cancer', 'herb', 'medicine', 'got', 'great', 'meet', 'harry', 'herb', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']",2
give review dr harry herbs youtube using herbs medicine cure cancer thank god free cure live normal life thank much dr harry herbs youtube,"['give', 'review', 'dr', 'harry', 'herbs', 'youtube', 'using', 'herbs', 'medicine', 'cure', 'cancer', 'thank', 'god', 'free', 'cure', 'live', 'normal', 'life', 'thank', 'much', 'dr', 'harry', 'herbs', 'youtube']","['give', 'review', 'harry', 'herb', 'youtube', 'using', 'herb', 'medicine', 'cure', 'cancer', 'thank', 'god', 'free', 'cure', 'live', 'normal', 'life', 'thank', 'much', 'harry', 'herb', 'youtube']",2
god bless u,"['god', 'bless']","['god', 'bless']",1
keep fighting amazing,"['keep', 'fighting', 'amazing']","['keep', 'fighting', 'amazing']",2
56 yrs old last year started feel pain left breast doctor told mastitis breast infection prescribed antibiotic steroids tab make face like moon face 2 weeks stop face gets thicker bigger year summer 2022 pain back small lump left side nipple got quick biopsy got results shes telling maybe cancer referred much bigger hospital scheduled coming october 13 maybe another check lnow really eeous praying,"['56', 'yrs', 'old', 'last', 'year', 'started', 'feel', 'pain', 'left', 'breast', 'doctor', 'told', 'mastitis', 'breast', 'infection', 'prescribed', 'antibiotic', 'steroids', 'tab', 'make', 'face', 'like', 'moon', 'face', 'weeks', 'stop', 'face', 'gets', 'thicker', 'bigger', 'year', 'summer', '2022', 'pain', 'back', 'small', 'lump', 'left', 'side', 'nipple', 'got', 'quick', 'biopsy', 'got', 'results', 'shes', 'telling', 'maybe', 'cancer', 'referred', 'much', 'bigger', 'hospital', 'scheduled', 'coming', 'october', '13', 'maybe', 'another', 'check', 'lnow', 'really', 'eeous', 'praying']","['old', 'last', 'year', 'started', 'feel', 'pain', 'left', 'breast', 'doctor', 'told', 'mastitis', 'breast', 'infection', 'prescribed', 'antibiotic', 'steroid', 'tab', 'make', 'face', 'like', 'moon', 'face', 'week', 'stop', 'face', 'get', 'thicker', 'bigger', 'year', 'summer', '2022', 'pain', 'back', 'small', 'lump', 'left', 'side', 'nipple', 'got', 'quick', 'biopsy', 'got', 'result', 'shes', 'telling', 'maybe', 'cancer', 'referred', 'much', 'bigger', 'hospital', 'scheduled', 'coming', 'october', 'maybe', 'another', 'check', 'lnow', 'really', 'eeous', 'praying']",1
pray lord jesus christ see pray hold hands delivers storm jesus name amen hang everything going please saved repent sins make heaven one day given life jesus christ cancer kidney failure diabetes high blood pressure disease suffering jesus christ come saints raptured soon come board except jesus way sicknesses disease see today see one day glory god wipe us accept jesus lord savior confessed sins god love jesus walk tell made commitment accepted sorry going breast cancer type cancer type problems one saw storm jesus christ love giving family give back went dialysis kidney transplant thyroid removed jesus side one day scars see today disappear glory god pray see please accept late heaven real hell also real spend eternity choose heaven savior jesus christ,"['pray', 'lord', 'jesus', 'christ', 'see', 'pray', 'hold', 'hands', 'delivers', 'storm', 'jesus', 'name', 'amen', 'hang', 'everything', 'going', 'please', 'saved', 'repent', 'sins', 'make', 'heaven', 'one', 'day', 'given', 'life', 'jesus', 'christ', 'cancer', 'kidney', 'failure', 'diabetes', 'high', 'blood', 'pressure', 'disease', 'suffering', 'jesus', 'christ', 'come', 'saints', 'raptured', 'soon', 'come', 'board', 'except', 'jesus', 'way', 'sicknesses', 'disease', 'see', 'today', 'see', 'one', 'day', 'glory', 'god', 'wipe', 'us', 'accept', 'jesus', 'lord', 'savior', 'confessed', 'sins', 'god', 'love', 'jesus', 'walk', 'tell', 'made', 'commitment', 'accepted', 'sorry', 'going', 'breast', 'cancer', 'type', 'cancer', 'type', 'problems', 'one', 'saw', 'storm', 'jesus', 'christ', 'love', 'giving', 'family', 'give', 'back', 'went', 'dialysis', 'kidney', 'transplant', 'thyroid', 'removed', 'jesus', 'side', 'one', 'day', 'scars', 'see', 'today', 'disappear', 'glory', 'god', 'pray', 'see', 'please', 'accept', 'late', 'heaven', 'real', 'hell', 'also', 'real', 'spend', 'eternity', 'choose', 'heaven', 'savior', 'jesus', 'christ']","['pray', 'lord', 'jesus', 'christ', 'see', 'pray', 'hold', 'hand', 'delivers', 'storm', 'jesus', 'name', 'amen', 'hang', 'everything', 'going', 'please', 'saved', 'repent', 'sin', 'make', 'heaven', 'one', 'day', 'given', 'life', 'jesus', 'christ', 'cancer', 'kidney', 'failure', 'diabetes', 'high', 'blood', 'pressure', 'disease', 'suffering', 'jesus', 'christ', 'come', 'saint', 'raptured', 'soon', 'come', 'board', 'except', 'jesus', 'way', 'sickness', 'disease', 'see', 'today', 'see', 'one', 'day', 'glory', 'god', 'wipe', 'accept', 'jesus', 'lord', 'savior', 'confessed', 'sin', 'god', 'love', 'jesus', 'walk', 'tell', 'made', 'commitment', 'accepted', 'sorry', 'going', 'breast', 'cancer', 'type', 'cancer', 'type', 'problem', 'one', 'saw', 'storm', 'jesus', 'christ', 'love', 'giving', 'family', 'give', 'back', 'went', 'dialysis', 'kidney', 'transplant', 'thyroid', 'removed', 'jesus', 'side', 'one', 'day', 'scar', 'see', 'today', 'disappear', 'glory', 'god', 'pray', 'see', 'please', 'accept', 'late', 'heaven', 'real', 'hell', 'also', 'real', 'spend', 'eternity', 'choose', 'heaven', 'savior', 'jesus', 'christ']",1
praying,['praying'],['praying'],1
stage 2 breast cancer 2013 6 chemotherapy infusions 32 days radiation thankful god still wish one thank god remission since 2014,"['stage', 'breast', 'cancer', '2013', 'chemotherapy', 'infusions', '32', 'days', 'radiation', 'thankful', 'god', 'still', 'wish', 'one', 'thank', 'god', 'remission', 'since', '2014']","['stage', 'breast', 'cancer', '2013', 'chemotherapy', 'infusion', 'day', 'radiation', 'thankful', 'god', 'still', 'wish', 'one', 'thank', 'god', 'remission', 'since', '2014']",1
fighting ovarian cancer still 7 septembers layer still typing mentality important always remember yoga mindfulness think imp chemo,"['fighting', 'ovarian', 'cancer', 'still', 'septembers', 'layer', 'still', 'typing', 'mentality', 'important', 'always', 'remember', 'yoga', 'mindfulness', 'think', 'imp', 'chemo']","['fighting', 'ovarian', 'cancer', 'still', 'september', 'layer', 'still', 'typing', 'mentality', 'important', 'always', 'remember', 'yoga', 'mindfulness', 'think', 'imp', 'chemo']",2
praying guys,"['praying', 'guys']","['praying', 'guy']",1
check kris beat cancer,"['check', 'kris', 'beat', 'cancer']","['check', 'kris', 'beat', 'cancer']",1
7yrs cervical cancer survivor alhamdulillah,"['7yrs', 'cervical', 'cancer', 'survivor', 'alhamdulillah']","['7yrs', 'cervical', 'cancer', 'survivor', 'alhamdulillah']",1
god bless strong,"['god', 'bless', 'strong']","['god', 'bless', 'strong']",2
kind infusion make sick tired weak burning feeling loss appetite,"['kind', 'infusion', 'make', 'sick', 'tired', 'weak', 'burning', 'feeling', 'loss', 'appetite']","['kind', 'infusion', 'make', 'sick', 'tired', 'weak', 'burning', 'feeling', 'loss', 'appetite']",0
love taste saline solution,"['love', 'taste', 'saline', 'solution']","['love', 'taste', 'saline', 'solution']",2
get well soon,"['get', 'well', 'soon']","['get', 'well', 'soon']",1
hope good,"['hope', 'good']","['hope', 'good']",3
doctor speaking castor oil https youtu kh93e_ dyae,"['doctor', 'speaking', 'castor', 'oil', 'https', 'youtu', 'kh93e', 'dyae']","['doctor', 'speaking', 'castor', 'oil', 'http', 'youtu', 'kh93e', 'dyae']",1
https youtu tjwcffkn9g4,"['https', 'youtu', 'tjwcffkn9g4']","['http', 'youtu', 'tjwcffkn9g4']",1
taste heparin saline,"['taste', 'heparin', 'saline']","['taste', 'heparin', 'saline']",1
port catedral takmışlar,"['port', 'catedral', 'takmışlar']","['port', 'catedral', 'takmışlar']",1
brave lady xxxxxxx,"['brave', 'lady', 'xxxxxxx']","['brave', 'lady', 'xxxxxxx']",3
god bless wife going stage 4 sarcoma,"['god', 'bless', 'wife', 'going', 'stage', 'sarcoma']","['god', 'bless', 'wife', 'going', 'stage', 'sarcoma']",1
praying healing sis im chemo also,"['praying', 'healing', 'sis', 'im', 'chemo', 'also']","['praying', 'healing', 'chemo', 'also']",1
world people like would better place make difference dr igho youtube thank curing breast cancer introducing herbal products world,"['world', 'people', 'like', 'would', 'better', 'place', 'make', 'difference', 'dr', 'igho', 'youtube', 'thank', 'curing', 'breast', 'cancer', 'introducing', 'herbal', 'products', 'world']","['world', 'people', 'like', 'would', 'better', 'place', 'make', 'difference', 'igho', 'youtube', 'thank', 'curing', 'breast', 'cancer', 'introducing', 'herbal', 'product', 'world']",2
11 years old chemotherapy whole entire life third going well second time one time hospital room wanted ask make sick makes sick poor like hope get hope get get better soon praying,"['11', 'years', 'old', 'chemotherapy', 'whole', 'entire', 'life', 'third', 'going', 'well', 'second', 'time', 'one', 'time', 'hospital', 'room', 'wanted', 'ask', 'make', 'sick', 'makes', 'sick', 'poor', 'like', 'hope', 'get', 'hope', 'get', 'get', 'better', 'soon', 'praying']","['year', 'old', 'chemotherapy', 'whole', 'entire', 'life', 'third', 'going', 'well', 'second', 'time', 'one', 'time', 'hospital', 'room', 'wanted', 'ask', 'make', 'sick', 'make', 'sick', 'poor', 'like', 'hope', 'get', 'hope', 'get', 'get', 'better', 'soon', 'praying']",0
saline taste odd least problems haha,"['saline', 'taste', 'odd', 'least', 'problems', 'haha']","['saline', 'taste', 'odd', 'least', 'problem', 'haha']",1
prayers going sending hugs love akron god bless,"['prayers', 'going', 'sending', 'hugs', 'love', 'akron', 'god', 'bless']","['prayer', 'going', 'sending', 'hug', 'love', 'akron', 'god', 'bless']",2
hang 62 diagnosed late stage 4 esophageal cancer january 2022 spread stomach liver bones max doses radiation put 2 chemos oxaliplation 2nd neurotoxin chemo fluorouracil given max 12 16 months live chemo 95 cancer gone 4 months tiny spec liver bone cancer destroyed hip artificial hip works well advice anyone cancer stay active importantly keep weight use ensure plus 350 calorie protein drinks meals weight went fast oncologist said probably get exactly pre cancer age also kept exercising hope get well soon,"['hang', '62', 'diagnosed', 'late', 'stage', 'esophageal', 'cancer', 'january', '2022', 'spread', 'stomach', 'liver', 'bones', 'max', 'doses', 'radiation', 'put', 'chemos', 'oxaliplation', '2nd', 'neurotoxin', 'chemo', 'fluorouracil', 'given', 'max', '12', '16', 'months', 'live', 'chemo', '95', 'cancer', 'gone', 'months', 'tiny', 'spec', 'liver', 'bone', 'cancer', 'destroyed', 'hip', 'artificial', 'hip', 'works', 'well', 'advice', 'anyone', 'cancer', 'stay', 'active', 'importantly', 'keep', 'weight', 'use', 'ensure', 'plus', '350', 'calorie', 'protein', 'drinks', 'meals', 'weight', 'went', 'fast', 'oncologist', 'said', 'probably', 'get', 'exactly', 'pre', 'cancer', 'age', 'also', 'kept', 'exercising', 'hope', 'get', 'well', 'soon']","['hang', 'diagnosed', 'late', 'stage', 'esophageal', 'cancer', 'january', '2022', 'spread', 'stomach', 'liver', 'bone', 'max', 'dos', 'radiation', 'put', 'chemos', 'oxaliplation', '2nd', 'neurotoxin', 'chemo', 'fluorouracil', 'given', 'max', 'month', 'live', 'chemo', 'cancer', 'gone', 'month', 'tiny', 'spec', 'liver', 'bone', 'cancer', 'destroyed', 'hip', 'artificial', 'hip', 'work', 'well', 'advice', 'anyone', 'cancer', 'stay', 'active', 'importantly', 'keep', 'weight', 'use', 'ensure', 'plus', '350', 'calorie', 'protein', 'drink', 'meal', 'weight', 'went', 'fast', 'oncologist', 'said', 'probably', 'get', 'exactly', 'pre', 'cancer', 'age', 'also', 'kept', 'exercising', 'hope', 'get', 'well', 'soon']",1
