Cleaned_Tokens,Sentiment
"['mum', 'rchop', 'doxarubicin', 'gross', 'stuff', 'also', 'know', 'mean', 'taste', 'saline', 'hope', 'well']",4
"['challenging', 'time', 'appreciate', 'much', 'ogoh', 'created', 'life', 'thought', 'lost', 'thank', 'much', 'curing', 'cancer', 'disease']",4
"['couple', 'triplet']",4
"['red', 'devil', 'use', 'call', 'taxotere', 'red', 'chemo', 'med', 'infused', 'peeing', 'red', 'orange', 'also', 'med', 'turned', 'pee', 'blue', 'green', 'month', 'chemo', 'radiation', 'treatment', 'cancer', 'free', 'thank', 'goodness']",4
['girl'],4
"['new', 'idea', 'brings', 'hope', 'stop', 'chemo', 'use', 'left', 'kingship', 'fight', 'newly', 'punished', 'lulu', 'author', 'kevin', 'anaekwe']",4
"['pretty', 'delia', 'strong']",4
"['boo', 'gonna', 'make', 'sure', 'everything', 'new', 'imma', 'put', 'brand', 'new', 'coop']",4
"['great', 'husband', 'iron', 'man', 'one', 'angel']",4
"['speak', 'english', 'subirles', 'please']",4
"['always', 'get', 'gauze', 'tape', 'bandaids', 'tear', 'skin']",4
"['also', 'got', 'chemotherapy', 'infusion', 'coincidence', 'also', 'cancer', 'time', '2021', 'time', 'year', 'old', 'indian']",4
"['dad', 'lungcancer', 'year', 'ago', 'chemotrratments', 'right', 'lung', 'removed', 'survived', 'tough', 'ride', 'worth', 'taking', 'evryone', 'pull', 'know', 'help', 'sure', 'good', 'luck', 'everyone']",4
"['dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']",4
"['dagba', 'youtube', 'gave', 'cure', 'used', 'cancer', 'living', 'better', 'really', 'appreciate', 'drdagba']",4
"['hello', 'spare', 'account', 'cant', 'without', 'saying', 'dexamethasone', 'steroid', 'took', 'covid', 'great']",4
"['love', 'every', 'cancer', 'patient', 'get', 'well', 'soon', 'god', 'bless', 'proud']",4
"['glad', 'great', 'support', 'system', 'looking', 'great', 'year', 'cancer', 'free', 'aggressive', 'one', 'lymph', 'node', 'left', 'arm']",4
"['hated', 'would', 'flush', 'port', 'could', 'taste', 'alcohol']",4
"['cant', 'understand', 'people', 'dont', 'listen', 'jesus', 'happy', 'heatly']",4
"['tego', 'nikt', 'nie', 'przewidzi', 'każdy', 'dzień', 'należy', 'boga']",4
"['jesus', 'sister', 'faith']",4
"['thanks', 'harry', 'herb', 'got', 'youtube', 'using', 'time', 'treat', 'help', 'get', 'rid', 'cancer', 'herb', 'medicine', 'got', 'great', 'meet', 'harry', 'herb', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']",4
"['bill', 'forget', 'human', 'full', 'territory', 'nation', 'test', 'global', 'health', 'hospital', 'year', 'sauved', 'million', 'milliard', 'human', 'result', 'catégory', 'global', 'search', 'test', 'hospital', 'human', 'great', 'healthy', 'need', 'healing', 'human', 'great', 'healthy', 'need', 'heelings', 'forget', 'test', 'global', 'health', 'hospital', 'year', 'sauved', 'million', 'milliard', 'death']",4
"['bill', 'great', 'retablissements', 'cancer', 'people', 'earth', 'lost', 'much', 'member', 'familly', 'life', 'connaissances', 'death', 'manqued', 'forget', 'éternity', 'like', 'appréciate', 'love', 'people', 'familly', 'life', 'conaissances', 'life', 'manqued', 'heat', 'dead', 'loved', 'death', 'impossible', 'watch', 'listen', 'regret', 'speak', 'watch', 'death', 'loved']",4
"['shot', 'build', 'white', 'blood', 'cell', 'ordered', 'shot', '000', 'expensive', 'thankfully', 'medical', 'insurance', 'covered', 'never', 'use', 'though', 'nurse', 'told', 'day', 'last', 'chemo', 'people', 'afford', 'shot', 'really', 'needed', 'expensive', 'since', 'god', 'let', 'live', 'cancer', 'also', 'let', 'live', 'cancer', 'year', 'old', 'came', 'hospital', 'igloo', 'ice', 'pack', 'next', 'day', 'driving', 'hour', 'half', 'donated', 'shot', 'ever', 'needed', 'shot', 'came', 'cold', 'box', 'refridgerated', 'time', 'safety', 'seal', 'drs', 'break', 'seal', 'sitting', 'fridge', 'chemo', 'something', 'give', 'back', 'help', 'others', 'lucky', 'enough', 'get', 'shot', 'free', 'wanted', 'help', 'others', 'fight', 'girl', 'got']",4
"['john', 'god', 'little', 'child', 'overcome', 'greater', 'world']",4
"['yes', 'taste', 'saline', 'nasty', 'remember', 'port', 'line', 'thought', 'gross', 'lol', 'god', 'bless']",4
['blessing'],4
"['brave', 'god', 'bless']",4
"['well', 'treatment', 'kill']",4
"['got', 'flatlined', 'twice', 'complicated', 'pancreas', 'cancer', 'surgery', 'dead', 'minute', 'hope']",4
"['deus', 'abençõe']",4
"['wow', 'thanks', 'sharing', 'experience', 'hope', 'may', 'god', 'continues', 'blessing', 'life']",4
"['ivermectin', 'try', 'god', 'bless']",4
"['thanks', 'harry', 'herb', 'got', 'youtube', 'using', 'time', 'treatment', 'help', 'get', 'rid', 'cancer', 'herb', 'medicine', 'got', 'great', 'meet', 'harry', 'herb', 'youtube', 'keep', 'great', 'work', 'lord', 'god', 'giving', 'save', 'life']",4
"['give', 'review', 'harry', 'herb', 'youtube', 'using', 'herb', 'medicine', 'cure', 'cancer', 'thank', 'god', 'free', 'cure', 'live', 'normal', 'life', 'thank', 'much', 'harry', 'herb', 'youtube']",4
"['god', 'bless']",4
"['keep', 'fighting', 'amazing']",4
"['old', 'last', 'year', 'started', 'feel', 'pain', 'left', 'breast', 'doctor', 'told', 'mastitis', 'breast', 'infection', 'prescribed', 'antibiotic', 'steroid', 'tab', 'make', 'face', 'like', 'moon', 'face', 'week', 'stop', 'face', 'get', 'thicker', 'bigger', 'year', 'summer', '2022', 'pain', 'back', 'small', 'lump', 'left', 'side', 'nipple', 'got', 'quick', 'biopsy', 'got', 'result', 'shes', 'telling', 'maybe', 'cancer', 'referred', 'much', 'bigger', 'hospital', 'scheduled', 'coming', 'october', 'maybe', 'another', 'check', 'lnow', 'really', 'eeous', 'praying']",4
"['pray', 'lord', 'jesus', 'christ', 'see', 'pray', 'hold', 'hand', 'delivers', 'storm', 'jesus', 'name', 'amen', 'hang', 'everything', 'going', 'please', 'saved', 'repent', 'sin', 'make', 'heaven', 'one', 'day', 'given', 'life', 'jesus', 'christ', 'cancer', 'kidney', 'failure', 'diabetes', 'high', 'blood', 'pressure', 'disease', 'suffering', 'jesus', 'christ', 'come', 'saint', 'raptured', 'soon', 'come', 'board', 'except', 'jesus', 'way', 'sickness', 'disease', 'see', 'today', 'see', 'one', 'day', 'glory', 'god', 'wipe', 'accept', 'jesus', 'lord', 'savior', 'confessed', 'sin', 'god', 'love', 'jesus', 'walk', 'tell', 'made', 'commitment', 'accepted', 'sorry', 'going', 'breast', 'cancer', 'type', 'cancer', 'type', 'problem', 'one', 'saw', 'storm', 'jesus', 'christ', 'love', 'giving', 'family', 'give', 'back', 'went', 'dialysis', 'kidney', 'transplant', 'thyroid', 'removed', 'jesus', 'side', 'one', 'day', 'scar', 'see', 'today', 'disappear', 'glory', 'god', 'pray', 'see', 'please', 'accept', 'late', 'heaven', 'real', 'hell', 'also', 'real', 'spend', 'eternity', 'choose', 'heaven', 'savior', 'jesus', 'christ']",4
['praying'],4
"['stage', 'breast', 'cancer', '2013', 'chemotherapy', 'infusion', 'day', 'radiation', 'thankful', 'god', 'still', 'wish', 'one', 'thank', 'god', 'remission', 'since', '2014']",4
"['fighting', 'ovarian', 'cancer', 'still', 'september', 'layer', 'still', 'typing', 'mentality', 'important', 'always', 'remember', 'yoga', 'mindfulness', 'think', 'imp', 'chemo']",4
"['praying', 'guy']",4
"['check', 'kris', 'beat', 'cancer']",4
"['7yrs', 'cervical', 'cancer', 'survivor', 'alhamdulillah']",4
"['god', 'bless', 'strong']",4
"['kind', 'infusion', 'make', 'sick', 'tired', 'weak', 'burning', 'feeling', 'loss', 'appetite']",4
"['love', 'taste', 'saline', 'solution']",4
"['get', 'well', 'soon']",4
"['hope', 'good']",4
"['doctor', 'speaking', 'castor', 'oil', 'http', 'youtu', 'kh93e', 'dyae']",4
"['http', 'youtu', 'tjwcffkn9g4']",4
"['taste', 'heparin', 'saline']",4
"['port', 'catedral', 'takmışlar']",4
"['brave', 'lady', 'xxxxxxx']",4
"['god', 'bless', 'wife', 'going', 'stage', 'sarcoma']",4
"['praying', 'healing', 'chemo', 'also']",4
"['world', 'people', 'like', 'would', 'better', 'place', 'make', 'difference', 'igho', 'youtube', 'thank', 'curing', 'breast', 'cancer', 'introducing', 'herbal', 'product', 'world']",4
"['year', 'old', 'chemotherapy', 'whole', 'entire', 'life', 'third', 'going', 'well', 'second', 'time', 'one', 'time', 'hospital', 'room', 'wanted', 'ask', 'make', 'sick', 'make', 'sick', 'poor', 'like', 'hope', 'get', 'hope', 'get', 'get', 'better', 'soon', 'praying']",4
"['saline', 'taste', 'odd', 'least', 'problem', 'haha']",4
"['prayer', 'going', 'sending', 'hug', 'love', 'akron', 'god', 'bless']",4
"['hang', 'diagnosed', 'late', 'stage', 'esophageal', 'cancer', 'january', '2022', 'spread', 'stomach', 'liver', 'bone', 'max', 'dos', 'radiation', 'put', 'chemos', 'oxaliplation', '2nd', 'neurotoxin', 'chemo', 'fluorouracil', 'given', 'max', 'month', 'live', 'chemo', 'cancer', 'gone', 'month', 'tiny', 'spec', 'liver', 'bone', 'cancer', 'destroyed', 'hip', 'artificial', 'hip', 'work', 'well', 'advice', 'anyone', 'cancer', 'stay', 'active', 'importantly', 'keep', 'weight', 'use', 'ensure', 'plus', '350', 'calorie', 'protein', 'drink', 'meal', 'weight', 'went', 'fast', 'oncologist', 'said', 'probably', 'get', 'exactly', 'pre', 'cancer', 'age', 'also', 'kept', 'exercising', 'hope', 'get', 'well', 'soon']",4
"['lucky', 'come', 'contact', 'rorpopor', 'herbal', 'youtube', 'curing', 'breast', 'cancer', 'almost', 'gave', 'life', 'using', 'herbal', 'medication', 'feel', 'like', 'every', 'normal', 'human', 'grateful']",4
"['mist', 'cancer', 'treatment', 'third', 'immuntherapy', 'next', 'week', 'lost', 'track', 'number', 'time', 'mri', 'scan', 'hardest', 'part', 'many', 'people', 'know', 'answer', 'call', 'text', 'like', 'wow']",4
"['respect', 'honor', 'people', 'dedicated', 'life', 'spent', 'time', 'provide', 'effective', 'natural', 'herbal', 'supplement', 'cancer', 'rorpopor', 'herbal', 'good', 'example', 'thank', 'doctor', 'curing', 'breast', 'cancer', 'completely', 'without', 'side', 'effect']",4
"['heart', 'full', 'joy', 'excitement', 'rorpopor', 'herbal', 'truly', 'father', 'medication', 'order', 'testified', 'big', 'thanks', 'doctor', 'making', 'cancer', 'negative', 'completely', 'without', 'side', 'effect']",4
"['john', 'god', 'loved', 'world', 'gave', 'begotten', 'whosoever', 'believeth', 'perish', 'everlasting', 'life']",4
"['heart', 'full', 'joy', 'excitement', 'rorpopor', 'herbal', 'youtube', 'truly', 'father', 'medication', 'order', 'testified', 'big', 'thanks', 'doctor', 'making', 'cancer', 'negative', 'completely', 'without', 'side', 'effect']",4
"['che', 'sintomi', 'hai', 'avuto']",4
"['try', 'putting', 'candy', 'mouth', 'flushing']",4
"['plz', 'listen', 'surah', 'rahman', 'therapy', 'seven', 'day', 'clean', 'heart', 'first', 'take', 'half', 'glass', 'water', 'close', 'eye', 'listen', 'surah', 'rahman', 'qari', 'abdul', 'basit', 'voice', 'listening', 'prayer', 'open', 'eye', 'take', 'water', 'close', 'eye', 'say', 'three', 'time', 'allah', 'allah', 'allah', 'god', 'god', 'god', 'thing', 'condition', 'love', 'drink', 'water', 'three', 'sip', 'open', 'eye', 'three', 'time', 'day', 'keep', 'praying', 'seven', 'day', 'stop', 'listening', 'prayer', 'drink', 'water', 'close', 'eye', 'say', 'creator', 'name', 'three', 'time', 'drink', 'water', 'contnusly', 'amezing', 'result', 'plz', 'plz']",4
['today'],4
"['due', 'respect', 'madness', 'criminal', 'one', 'cannot', 'poison', 'body', 'back', 'health', 'called', 'treatment', 'chemotherapy', 'radiotherapy', 'proven', 'carcinogen', 'something', 'cause', 'cancer', 'treatment', 'cancer']",4
"['know', 'seems', 'enjoyable']",4
"['rip', 'technoblade']",4
"['currently', 'battling', 'horrible', 'disease', 'video', 'help', 'prepare', 'first', 'infusion', 'chemotherapy', 'pill', 'round', 'radiation', 'iron', 'infusion', 'every', 'week', 'last', 'four', 'week', 'thank', 'prayer', 'kick']",4
"['let', 'pray', 'sister']",4
"['thanks', 'sharing', 'dear', 'week', 'ago', 'diagnosed', 'breast', 'cancer', 'since', 'net', 'looking', 'inspiration', 'help', 'stay', 'strong', 'strong', 'lil', 'kid', 'hope', 'one', 'day', 'proudly', 'say', 'cancer', 'free', 'know', 'long', 'way']",4
"['girl', 'love', 'support']",4
"['doctor', 'find', 'cure']",4
"['indeed', 'aluda', 'youtube', 'good', 'herbalist', 'trusted', 'cured', 'cancer', 'hpv', 'herbal', 'medication']",4
"['absolutely', 'overwhelmed', 'splendid', 'miraculously', 'oiwoh', 'youtube', 'channel', 'herbal', 'remedy', 'work', 'brought', 'hope', 'lost', 'forever', 'indebted', 'doc', 'droiwoh']",4
"['absolutely', 'overwhelmed', 'splendid', 'miraculously', 'oiwoh', 'youtube', 'channel', 'herbal', 'remedy', 'work', 'brought', 'hope', 'lost', 'forever', 'indebted', 'doc', 'droiwoh']",4
"['god', 'grace', 'mercy']",4
"['cancer', 'survivor', 'lung', 'canccer', 'stage', 'http', 'youtube', 'com', 'watch', 'wxe1gaykdea', 'feature', 'share']",4
"['sorry', 'going', 'hope', 'thing', 'get', 'better', 'dad', 'prostate', 'cancer', 'two', 'year', 'diagnosis', 'alot', 'better', 'twenty', 'eight', 'day', 'straight', 'radiation', 'treatment']",4
"['really', 'appreciate', 'good', 'work', 'ogoh', 'youtube', 'thanks', 'curing', 'cancer', 'disease', 'pain', 'sleepless', 'night', 'thanks', 'drogoh']",4
"['love', 'banner', 'great', 'health', 'care', 'system']",4
"['look', 'asian', 'chinese', 'lady', 'look', 'like']",4
"['may', 'god', 'bless', 'strength', 'faith']",4
"['good', 'luck', 'hope', 'well']",4
