data,tokens
comment: she got that natural mullet   lucky,"['comment', 'get', 'natural', 'mullet', 'lucky']"
comment: what happened chemo alopecia i got this randomly in my page im not sure who this is and whats going on i lost a lot of hair density from a medical procedure and it just didnt come back its starting to thin even more as a girl i can relate to the painit feels like half of my beauty is being ripped from me,"['comment', 'happen', 'chemo', 'alopecia', 'get', 'randomly', 'page', 'im', 'sure', 'whats', 'go', 'lose', 'lot', 'hair', 'density', 'medical', 'procedure', 'didnt', 'come', 'back', 'start', 'thin', 'even', 'girl', 'relate', 'painit', 'feel', 'like', 'half', 'beauty', 'rip']"
comment: get well soon kyedae🫂,"['comment', 'get', 'well', 'soon']"
comment: ngl the red hair is fire tbh,"['comment', 'ngl', 'red', 'hair', 'fire', 'tbh']"
comment: gonna cry,"['comment', 'gon', 'na', 'cry']"
comment: i saw that most of the time hair loss due to chemotherapy is temporary so hopefully it’s all fine,"['comment', 'saw', 'time', 'hair', 'loss', 'due', 'chemotherapy', 'temporary', 'hopefully', 'fine']"
comment: she look so much like tenz,"['comment', 'look', 'much', 'like', 'tenz']"
comment: omg you look like maki from csm,"['comment', 'omg', 'look', 'like', 'maki', 'csm']"
comment: wig lmao,"['comment', 'wig', 'lmao']"
comment: very impressive she keeps a smile i am sure you will recover kyedae i hope it just happens soon,"['comment', 'impressive', 'keep', 'smile', 'sure', 'recover', 'kyedae', 'hope', 'happen', 'soon']"
comment: i hope she gets well soon may god help her prayed for her and all of us and myself,"['comment', 'hope', 'get', 'well', 'soon', 'may', 'god', 'help', 'pray', 'us']"
comment: i wish kyedae to stay strong as she is now and soon recovery we love you,"['comment', 'wish', 'kyedae', 'stay', 'strong', 'soon', 'recovery', 'love']"
comment: bro can you please not clip things like this it is already bad knowing that she has cancer and now you are seeing this as an opportunity to cash in and have some views there are shit ton of youtubers who do funny shit and can get you many views but why you have to go clip her  just like why,"['comment', 'bro', 'please', 'clip', 'things', 'like', 'already', 'bad', 'know', 'cancer', 'see', 'opportunity', 'cash', 'view', 'shit', 'ton', 'youtubers', 'funny', 'shit', 'get', 'many', 'view', 'go', 'clip', 'like']"
comment: damni have a cousin dealing with cancer too and i can only imagine how she feels toohope they both get better soon,"['comment', 'damni', 'cousin', 'deal', 'cancer', 'imagine', 'feel', 'toohope', 'get', 'better', 'soon']"
comment: rip,"['comment', 'rip']"
comment: ok so,"['comment', 'ok']"
comment: ayyo wtf is even goin on,"['comment', 'ayyo', 'wtf', 'even', 'goin']"
comment: why is she bald does she suffer from cancer,"['comment', 'bald', 'suffer', 'cancer']"
comment: she has my respect for being mentally strong,"['comment', 'respect', 'mentally', 'strong']"
comment: literally not the best moment to bring it up but i cant help but notice that her and tenz look related,"['comment', 'literally', 'best', 'moment', 'bring', 'cant', 'help', 'notice', 'tenz', 'look', 'relate']"
comment: shes what underneath,"['comment', 'shes', 'underneath']"
comment: stage  complete,"['comment', 'stage', 'complete']"
comment: red hair reminds me of narutos mum,"['comment', 'red', 'hair', 'remind', 'narutos', 'mum']"
comment: love you kyedae,"['comment', 'love', 'kyedae']"
comment: i hate kyeade has to go through this fuck cancer,"['comment', 'hate', 'kyeade', 'go', 'fuck', 'cancer']"
comment: ,['comment']
comment: أحبك 🥦🥦🥦🥦🥦🥦🥬🥬🥬🥬🥬🥬,"['comment', 'أحبك']"
comment: she will make it,"['comment', 'make']"
comment: you got this kyedae cancer will lose,"['comment', 'get', 'kyedae', 'cancer', 'lose']"
comment: naw like  years after the treatment and her hair will be back she still pretty so it doesnt really matter wish you the best kyeadae,"['comment', 'naw', 'like', 'years', 'treatment', 'hair', 'back', 'still', 'pretty', 'doesnt', 'really', 'matter', 'wish', 'best', 'kyeadae']"
comment: gg,"['comment', 'gg']"
comment: wow you look gorgeous with that hair color,"['comment', 'wow', 'look', 'gorgeous', 'hair', 'color']"
comment: feel so bad man the way she’s still holding herself together is so admirable man sadly makes it that much harder,"['comment', 'feel', 'bad', 'man', 'way', 'still', 'hold', 'together', 'admirable', 'man', 'sadly', 'make', 'much', 'harder']"
comment: kushina uzumaki,"['comment', 'kushina', 'uzumaki']"
comment: still pretty girl keep your head up you are perfect,"['comment', 'still', 'pretty', 'girl', 'keep', 'head', 'perfect']"
comment: can you show it so we can have a good laugh,"['comment', 'show', 'good', 'laugh']"
comment: thank you daph and tyler for going bald in support,"['comment', 'thank', 'daph', 'tyler', 'go', 'bald', 'support']"
comment: man,"['comment', 'man']"
comment: tough girl she held that one in you could see that sadness slip wish the best for her,"['comment', 'tough', 'girl', 'hold', 'one', 'could', 'see', 'sadness', 'slip', 'wish', 'best']"
comment: beside her fighting the cancer she looks good in every way even tho shes bald tbh,"['comment', 'beside', 'fight', 'cancer', 'look', 'good', 'every', 'way', 'even', 'tho', 'shes', 'bald', 'tbh']"
comment: i feel so incredibly sorry for her,"['comment', 'feel', 'incredibly', 'sorry']"
comment: ,['comment']
comment: wait whats wrong with her hair does she have cancer she looked like she was about to break down,"['comment', 'wait', 'whats', 'wrong', 'hair', 'cancer', 'look', 'like', 'break']"
comment: im not a fan of kyadae but it suprises me how strong she is against all the hate and pain i hope she gets fine,"['comment', 'im', 'fan', 'kyadae', 'suprises', 'strong', 'hate', 'pain', 'hope', 'get', 'fine']"
comment: when she said she was bald underneath my cock is just raging i thought she was referring to down there then after reading the cancer comments it was limp as fuck fuck cancer i hope she gets well,"['comment', 'say', 'bald', 'underneath', 'cock', 'rag', 'think', 'refer', 'read', 'cancer', 'comment', 'limp', 'fuck', 'fuck', 'cancer', 'hope', 'get', 'well']"
"comment: oh no she gonna mald 
no offense","['comment', 'oh', 'gon', 'na', 'mald', 'offense']"
comment: does she have alopecia or something,"['comment', 'alopecia', 'something']"
comment: imagine balding at,"['comment', 'imagine', 'bald']"
comment: does she have cancer,"['comment', 'cancer']"
comment: now she needs to start a cooking show with tenz and name him jesse,"['comment', 'need', 'start', 'cook', 'show', 'tenz', 'name', 'jesse']"
comment: yo single male living in his mothers basement hair cut,"['comment', 'yo', 'single', 'male', 'live', 'mother', 'basement', 'hair', 'cut']"
comment: you know why cancer person always bald because the treatment kill any cells that can quickly multiply which is a properties of cancer cell but what cells also multiply quickly hair cells quick tip for yall,"['comment', 'know', 'cancer', 'person', 'always', 'bald', 'treatment', 'kill', 'cells', 'quickly', 'multiply', 'properties', 'cancer', 'cell', 'cells', 'also', 'multiply', 'quickly', 'hair', 'cells', 'quick', 'tip', 'yall']"
comment: dammm 🥺,"['comment', 'dammm']"
comment: i didnt know she had cancer omg…,"['comment', 'didnt', 'know', 'cancer']"
comment: every little thing gonna be alright,"['comment', 'every', 'little', 'thing', 'gon', 'na', 'alright']"
comment: cool,"['comment', 'cool']"
comment: l,"['comment', 'l']"
comment: this is a wendys,"['comment', 'wendys']"
comment: bald is meta,"['comment', 'bald', 'meta']"
comment: beat cancers ass kyedae,"['comment', 'beat', 'cancers', 'ass', 'kyedae']"
comment: you could take off your wig if u wish strong and kind people are always beautiful,"['comment', 'could', 'take', 'wig', 'u', 'wish', 'strong', 'kind', 'people', 'always', 'beautiful']"
comment: very low chance she survives this,"['comment', 'low', 'chance', 'survive']"
comment: tbh i stop watching them for like when aceu stop playin val and return to apex  but bruh stay strong kyedae,"['comment', 'tbh', 'stop', 'watch', 'like', 'aceu', 'stop', 'playin', 'val', 'return', 'apex', 'bruh', 'stay', 'strong', 'kyedae']"
comment: kyedae turning into tenz anime waifu,"['comment', 'kyedae', 'turn', 'tenz', 'anime', 'waifu']"
comment: my fellow canadian repping  🤍🤍 she looks amazing  and she will recover soon by the grace of god and his son jesus christ,"['comment', 'fellow', 'canadian', 'repping', 'look', 'amaze', 'recover', 'soon', 'grace', 'god', 'son', 'jesus', 'christ']"
comment: i hope she keeps fighting through this with humor and smiles my dad had cancer and i would not wish it upon my worst enemies it’s just a horrible thing to watch and i can’t even imagine having it myself i wish her the best and hope she beats it,"['comment', 'hope', 'keep', 'fight', 'humor', 'smile', 'dad', 'cancer', 'would', 'wish', 'upon', 'worst', 'enemies', 'horrible', 'thing', 'watch', 'even', 'imagine', 'wish', 'best', 'hope', 'beat']"
comment: i like ya cut g,"['comment', 'like', 'ya', 'cut', 'g']"
comment: nah we believe in you kyedae youll make it out alive of cancer and well see you streaming normally and happily again,"['comment', 'nah', 'believe', 'kyedae', 'youll', 'make', 'alive', 'cancer', 'well', 'see', 'stream', 'normally', 'happily']"
comment: the uzumaki clan still exists,"['comment', 'uzumaki', 'clan', 'still', 'exist']"
comment: cancer fucking sucks,"['comment', 'cancer', 'fuck', 'suck']"
comment: one hell of a strong woman,"['comment', 'one', 'hell', 'strong', 'woman']"
comment: the simps in the chat lol,"['comment', 'simps', 'chat', 'lol']"
comment: this video makes me so mad like what was the point of this this is so garbage i wipe my butt with this kind of garbage after a,"['comment', 'video', 'make', 'mad', 'like', 'point', 'garbage', 'wipe', 'butt', 'kind', 'garbage']"
comment: i forgot she had cancer,"['comment', 'forget', 'cancer']"
comment: its just hair bruh,"['comment', 'hair', 'bruh']"
comment: the bald buff,"['comment', 'bald', 'buff']"
comment: ,['comment']
comment: wigs are such a fun thing i’m glad she gets to experience wigs at least once in her life,"['comment', 'wigs', 'fun', 'thing', 'glad', 'get', 'experience', 'wigs', 'least', 'life']"
comment: would still tap just grabbing a plunger,"['comment', 'would', 'still', 'tap', 'grab', 'plunger']"
comment: bro following the ways of technoblade,"['comment', 'bro', 'follow', 'ways', 'technoblade']"
comment: is that a guy,"['comment', 'guy']"
comment: who got no hairs now,"['comment', 'get', 'hairs']"
comment: rip monkey,"['comment', 'rip', 'monkey']"
comment: force a elle,"['comment', 'force', 'elle']"
comment: bald head review,"['comment', 'bald', 'head', 'review']"
comment: she still looks beautiful hope she makes a full recovery,"['comment', 'still', 'look', 'beautiful', 'hope', 'make', 'full', 'recovery']"
comment: why she go bald tho,"['comment', 'go', 'bald', 'tho']"
comment: yoo what happened,"['comment', 'yoo', 'happen']"
comment: she will pull through,"['comment', 'pull']"
comment: it’s all good i’m going through the same thing and i’m completely bald too,"['comment', 'good', 'go', 'thing', 'completely', 'bald']"
comment: te amamos kye,"['comment', 'te', 'amamos', 'kye']"
comment: ,['comment']
comment: does she had a brain cancer or tumor,"['comment', 'brain', 'cancer', 'tumor']"
comment: looks so good couldn’t even tell,"['comment', 'look', 'good', 'even', 'tell']"
comment: i understand how people feel when a loved one has cancer my uncle has stage  cancer and he will not be able to heal so i feel for kyadae,"['comment', 'understand', 'people', 'feel', 'love', 'one', 'cancer', 'uncle', 'stage', 'cancer', 'able', 'heal', 'feel', 'kyadae']"
comment: bro no im literally on the verge of crying shes my favourite  seeing her go through all this  people are still hating on her it just breaks my heart,"['comment', 'bro', 'im', 'literally', 'verge', 'cry', 'shes', 'favourite', 'see', 'go', 'people', 'still', 'hat', 'break', 'heart']"
comment: teared me up fr aaaaaaaaaaa,"['comment', 'tear', 'fr', 'aaaaaaaaaaa']"
comment: teared me up fr aaaaaaaaaaa,"['comment', 'tear', 'fr', 'aaaaaaaaaaa']"
comment: teared me up fr aaaaaaaaaaa,"['comment', 'tear', 'fr', 'aaaaaaaaaaa']"
comment: beautiful is all i need,"['comment', 'beautiful', 'need']"
comment: shell make it,"['comment', 'shell', 'make']"
comment: kushina,"['comment', 'kushina']"
comment: i hope tenz is taking good care of her i wanna hug her so bad i can see the sadness in her eyes🥹,"['comment', 'hope', 'tenz', 'take', 'good', 'care', 'wan', 'na', 'hug', 'bad', 'see', 'sadness']"
comment: god bless kyedae shes such an inspirational streamer truly hope she wins the battle,"['comment', 'god', 'bless', 'kyedae', 'shes', 'inspirational', 'streamer', 'truly', 'hope', 'win', 'battle']"
comment: bald or nt bald she is still the same person i respect and will always be also she kinda look like pink hair lilypichu though no,"['comment', 'bald', 'nt', 'bald', 'still', 'person', 'respect', 'always', 'also', 'kinda', 'look', 'like', 'pink', 'hair', 'lilypichu', 'though']"
comment: i feel so sad for her but i thought of something else…,"['comment', 'feel', 'sad', 'think', 'something']"
comment: our poor kyedae you are so strong we love you,"['comment', 'poor', 'kyedae', 'strong', 'love']"
comment: shes sad but strong never allow negative energies to drain you especially if youre ill stay strong kyadae,"['comment', 'shes', 'sad', 'strong', 'never', 'allow', 'negative', 'energies', 'drain', 'especially', 'youre', 'ill', 'stay', 'strong', 'kyadae']"
comment: anri from blue lock,"['comment', 'anri', 'blue', 'lock']"
comment: bald chicks can get it,"['comment', 'bald', 'chicks', 'get']"
comment: gi jane  cant wait to see it,"['comment', 'gi', 'jane', 'cant', 'wait', 'see']"
comment: can they recast ariel,"['comment', 'recast', 'ariel']"
comment: sister you are stronger than us hiding your sadness with a smile,"['comment', 'sister', 'stronger', 'us', 'hide', 'sadness', 'smile']"
comment: kushina,"['comment', 'kushina']"
comment: she looks like rize kamishiro lol,"['comment', 'look', 'like', 'rize', 'kamishiro', 'lol']"
comment: as someone that had someone close to me that was diagnosed with cancer and thank god beat it i will always wish the best and all the luck in the world that they beat it to anyone else that has it we’ve come a long way with treatment and i pray for the day we find a cure for this horrible disease,"['comment', 'someone', 'someone', 'close', 'diagnose', 'cancer', 'thank', 'god', 'beat', 'always', 'wish', 'best', 'luck', 'world', 'beat', 'anyone', 'else', 'come', 'long', 'way', 'treatment', 'pray', 'day', 'find', 'cure', 'horrible', 'disease']"
comment: fuckcancer,"['comment', 'fuckcancer']"
comment: i feel so bad i hope kyedae and tyson get better soon,"['comment', 'feel', 'bad', 'hope', 'kyedae', 'tyson', 'get', 'better', 'soon']"
comment: its funny how she didnt wanna tell people but posts on twitter and brings it up x a stream lol,"['comment', 'funny', 'didnt', 'wan', 'na', 'tell', 'people', 'post', 'twitter', 'bring', 'x', 'stream', 'lol']"
comment: katarina,"['comment', 'katarina']"
comment: lmfaoooooooooooooooooooooo,"['comment', 'lmfaoooooooooooooooooooooo']"
comment: the amount of happiness and relief ill feel when kyedae gets online to tell us shes won the battle is actually insane,"['comment', 'amount', 'happiness', 'relief', 'ill', 'feel', 'kyedae', 'get', 'online', 'tell', 'us', 'shes', 'battle', 'actually', 'insane']"
comment: she want to cry but choose to be happy cause she dont want her followers to feel pity for her rather she wants them to learn how to conquer hard times by smiling,"['comment', 'want', 'cry', 'choose', 'happy', 'cause', 'dont', 'want', 'followers', 'feel', 'pity', 'rather', 'want', 'learn', 'conquer', 'hard', 'time', 'smile']"
comment: nooooooooooooooooooooooooooooooooooooooooooooooooooooooooo i feel so bad,"['comment', 'nooooooooooooooooooooooooooooooooooooooooooooooooooooooooo', 'feel', 'bad']"
comment: stay strong you got this,"['comment', 'stay', 'strong', 'get']"
comment: oh the misery cancer really be your enemy,"['comment', 'oh', 'misery', 'cancer', 'really', 'enemy']"
"comment: kyedae cosplay arc cant wait for the saitama one

im sorry i didnt mean it i love you kyedae","['comment', 'kyedae', 'cosplay', 'arc', 'cant', 'wait', 'saitama', 'one', 'im', 'sorry', 'didnt', 'mean', 'love', 'kyedae']"
comment: she is giving me kushina uzumaki vibe not gonna lie youll be alright kyedae  much love from your fans,"['comment', 'give', 'kushina', 'uzumaki', 'vibe', 'gon', 'na', 'lie', 'youll', 'alright', 'kyedae', 'much', 'love', 'fan']"
"comment: when i heard that kyedae has it i said to myself damn it really could happen to anyone 
appreciate life i guess","['comment', 'hear', 'kyedae', 'say', 'damn', 'really', 'could', 'happen', 'anyone', 'appreciate', 'life', 'guess']"
comment: ,['comment']
comment: ihhh,"['comment', 'ihhh']"
comment: what happened to her,"['comment', 'happen']"
comment: shes has a chance to get or hair back right,"['comment', 'shes', 'chance', 'get', 'hair', 'back', 'right']"
comment: shes so pretty  the red sutes her werry well,"['comment', 'shes', 'pretty', 'red', 'sutes', 'werry', 'well']"
comment: bro cancer sucks,"['comment', 'bro', 'cancer', 'suck']"
comment: kushina x kyedae,"['comment', 'kushina', 'x', 'kyedae']"
comment: that can have a lot of meanings,"['comment', 'lot', 'mean']"
comment: she be lookin like makise kurisu from steins gate with that red hair,"['comment', 'lookin', 'like', 'makise', 'kurisu', 'steins', 'gate', 'red', 'hair']"
comment: she probably has a rounder head than you will ever be kekw,"['comment', 'probably', 'rounder', 'head', 'ever', 'kekw']"
comment: aww🥺 youre still gorgeous kyaedae,"['comment', 'youre', 'still', 'gorgeous', 'kyaedae']"
comment: its so fucked up that my past memories are reliving again i want her to survive this,"['comment', 'fuck', 'past', 'memories', 'relive', 'want', 'survive']"
comment: you got this kyedae youre going to do great and itll be okie were rooting for you here,"['comment', 'get', 'kyedae', 'youre', 'go', 'great', 'itll', 'okie', 'root']"
comment: paying  dollars to whoever gets a pic of her without the wig bald,"['comment', 'pay', 'dollars', 'whoever', 'get', 'pic', 'without', 'wig', 'bald']"
comment: this woman is an absolute gigachad i wish i had her resilience,"['comment', 'woman', 'absolute', 'gigachad', 'wish', 'resilience']"
comment: i feel so bad for her but im so proud of tyson for staying with her and supporting her,"['comment', 'feel', 'bad', 'im', 'proud', 'tyson', 'stay', 'support']"
comment: jah katob,"['comment', 'jah', 'katob']"
comment: e ok miemi place de tine oircum ai fi,"['comment', 'e', 'ok', 'miemi', 'place', 'de', 'tine', 'oircum', 'ai', 'fi']"
comment: i love this women,"['comment', 'love', 'women']"
comment: stay strong girl youll grow it all back when you heal and when you do please dye your hair that colour it looks so good on you,"['comment', 'stay', 'strong', 'girl', 'youll', 'grow', 'back', 'heal', 'please', 'dye', 'hair', 'colour', 'look', 'good']"
comment: shes still pretty,"['comment', 'shes', 'still', 'pretty']"
comment: omg nilou,"['comment', 'omg', 'nilou']"
comment: hyedra,"['comment', 'hyedra']"
comment: get better soon kyedae,"['comment', 'get', 'better', 'soon', 'kyedae']"
comment: vaccinated,"['comment', 'vaccinate']"
comment: technically we are bald underneath of it all,"['comment', 'technically', 'bald', 'underneath']"
comment: kydae as a redhead is just,"['comment', 'kydae', 'redhead']"
comment: praying for a speedy recovery,"['comment', 'pray', 'speedy', 'recovery']"
comment: buy that one in the endd,"['comment', 'buy', 'one', 'endd']"
comment: l,"['comment', 'l']"
comment: legit looks like tenz without hair crazy,"['comment', 'legit', 'look', 'like', 'tenz', 'without', 'hair', 'crazy']"
comment: lol,"['comment', 'lol']"
comment: you are beautiful kyedae,"['comment', 'beautiful', 'kyedae']"
comment: omg its kushina from naruto,"['comment', 'omg', 'kushina', 'naruto']"
comment: hope you showing weakness to someone you trust cuz we are just human we need each other,"['comment', 'hope', 'show', 'weakness', 'someone', 'trust', 'cuz', 'human', 'need']"
"comment: i hate twitch streamers 
but i always respect strong woman","['comment', 'hate', 'twitch', 'streamers', 'always', 'respect', 'strong', 'woman']"
comment: makima san,"['comment', 'makima', 'san']"
comment: damn man going bald is not an easy task,"['comment', 'damn', 'man', 'go', 'bald', 'easy', 'task']"
comment: i can feel the pain shes having just by looking at her  hope youll be better kyedae,"['comment', 'feel', 'pain', 'shes', 'look', 'hope', 'youll', 'better', 'kyedae']"
comment: i hope she doesnt force herself to share everything on the internet tho sending best wishes and recovery to kyedae,"['comment', 'hope', 'doesnt', 'force', 'share', 'everything', 'internet', 'tho', 'send', 'best', 'wish', 'recovery', 'kyedae']"
comment: bald,"['comment', 'bald']"
comment: wait what happened to her,"['comment', 'wait', 'happen']"
comment: tennz hittin dat with the plundger,"['comment', 'tennz', 'hittin', 'dat', 'plundger']"
comment: she actually was stopping her from crying anyone can see it in her eyes man shes so strong,"['comment', 'actually', 'stop', 'cry', 'anyone', 'see', 'eye', 'man', 'shes', 'strong']"
comment: omg w of kyedae for staying strong what a queen,"['comment', 'omg', 'w', 'kyedae', 'stay', 'strong', 'queen']"
comment: cancer,"['comment', 'cancer']"
comment: so pretty,"['comment', 'pretty']"
comment: ,['comment']
comment: does she have cancer,"['comment', 'cancer']"
comment: it looks nice i hope you live,"['comment', 'look', 'nice', 'hope', 'live']"
comment: why u bald tho,"['comment', 'u', 'bald', 'tho']"
comment: still beautiful,"['comment', 'still', 'beautiful']"
comment: she looks very good,"['comment', 'look', 'good']"
comment: she can do a bald wraith cosplay,"['comment', 'bald', 'wraith', 'cosplay']"
comment: good luck you are amazing,"['comment', 'good', 'luck', 'amaze']"
comment: hang in there both of you and tenz you guys will get through this together,"['comment', 'hang', 'tenz', 'guy', 'get', 'together']"
comment: u can tell she is one strong woman,"['comment', 'u', 'tell', 'one', 'strong', 'woman']"
comment: shes alot tougher than i thought,"['comment', 'shes', 'alot', 'tougher', 'think']"
comment: baldae,"['comment', 'baldae']"
comment: 🥺,['comment']
comment: she was going to cry,"['comment', 'go', 'cry']"
comment: what happend to kayde why is she bald,"['comment', 'happend', 'kayde', 'bald']"
comment: kyedae doing the chadwick boseman challenge lets go,"['comment', 'kyedae', 'chadwick', 'boseman', 'challenge', 'let', 'go']"
comment: she still pretty with hair or no hair,"['comment', 'still', 'pretty', 'hair', 'hair']"
comment: i really hope she beats cancer,"['comment', 'really', 'hope', 'beat', 'cancer']"
comment: i hope everything goes well and she recovers safely,"['comment', 'hope', 'everything', 'go', 'well', 'recover', 'safely']"
comment: the worst things happen to the best quality people i dont have cancer but ive got pretty much everything else you can think of i know exactly how kyedae feels it sucks,"['comment', 'worst', 'things', 'happen', 'best', 'quality', 'people', 'dont', 'cancer', 'ive', 'get', 'pretty', 'much', 'everything', 'else', 'think', 'know', 'exactly', 'kyedae', 'feel', 'suck']"
comment: everything has upsides,"['comment', 'everything', 'upsides']"
comment: stay strong girl u will recover in no time we all know it,"['comment', 'stay', 'strong', 'girl', 'u', 'recover', 'time', 'know']"
comment: kushina uzumaki,"['comment', 'kushina', 'uzumaki']"
comment: well at least she not lying about that,"['comment', 'well', 'least', 'lie']"
comment: shes looking like a zombie atleast to me,"['comment', 'shes', 'look', 'like', 'zombie', 'atleast']"
comment: give it up for ninjae,"['comment', 'give', 'ninjae']"
comment: why when she smile she looks like tenz,"['comment', 'smile', 'look', 'like', 'tenz']"
comment: dont worry buddy eat donut and have fun d,"['comment', 'dont', 'worry', 'buddy', 'eat', 'donut', 'fun']"
comment: that stuff alters ya when i did mine i went in with blonde straight hair and after all my sessions i had curly brown hair,"['comment', 'stuff', 'alter', 'ya', 'mine', 'go', 'blonde', 'straight', 'hair', 'sessions', 'curly', 'brown', 'hair']"
comment: looks like makise kurisu,"['comment', 'look', 'like', 'makise', 'kurisu']"
comment: ,['comment']
comment: im not trying to be disrespectful and that is the last thing i want to do i do not watch much content from kyedae not as much as i would like to but has she started treatment and is starting to lose hair hence shaving it bald or did she just kind of got ahead of it,"['comment', 'im', 'try', 'disrespectful', 'last', 'thing', 'want', 'watch', 'much', 'content', 'kyedae', 'much', 'would', 'like', 'start', 'treatment', 'start', 'lose', 'hair', 'hence', 'shave', 'bald', 'kind', 'get', 'ahead']"
comment: she is horrible,"['comment', 'horrible']"
comment: she looks like tenz with a wig,"['comment', 'look', 'like', 'tenz', 'wig']"
comment: baldies basics in education and learning,"['comment', 'baldies', 'basics', 'education', 'learn']"
comment: ugly,"['comment', 'ugly']"
comment: shes so pale,"['comment', 'shes', 'pale']"
comment: she obviously would prefer hair but i think shed look good rocking a shaved head too some people just have the features to rock both hair and shaved,"['comment', 'obviously', 'would', 'prefer', 'hair', 'think', 'shed', 'look', 'good', 'rock', 'shave', 'head', 'people', 'feature', 'rock', 'hair', 'shave']"
comment: so cute in red in pink 🫶,"['comment', 'cute', 'red', 'pink']"
comment: she should try different wigs that look more natural theres definitely some out there that doesn’t look bad though,"['comment', 'try', 'different', 'wigs', 'look', 'natural', 'theres', 'definitely', 'look', 'bad', 'though']"
comment: she became kyedae uzumakii,"['comment', 'become', 'kyedae', 'uzumakii']"
comment: kyedae dont worry we all pray for you and you will beat that shit down stay strong,"['comment', 'kyedae', 'dont', 'worry', 'pray', 'beat', 'shit', 'stay', 'strong']"
comment: god bless you feel well,"['comment', 'god', 'bless', 'feel', 'well']"
comment: this is so sad,"['comment', 'sad']"
comment: she is not in danger tenz  she is the danger,"['comment', 'danger', 'tenz', 'danger']"
comment: man she is so strong i only have so much respect for her shes gonna beat this guys i wish the best for her,"['comment', 'man', 'strong', 'much', 'respect', 'shes', 'gon', 'na', 'beat', 'guy', 'wish', 'best']"
comment: kushina,"['comment', 'kushina']"
comment: chigiri,"['comment', 'chigiri']"
comment: stop milking her for views please lol,"['comment', 'stop', 'milk', 'view', 'please', 'lol']"
comment: who gives a shit,"['comment', 'give', 'shit']"
comment: man i want to travel to past just to say shes gonna have cancer so she would make her lifestyle much healthy and avoided it,"['comment', 'man', 'want', 'travel', 'past', 'say', 'shes', 'gon', 'na', 'cancer', 'would', 'make', 'lifestyle', 'much', 'healthy', 'avoid']"
"comment: its giving kushina 
looks pretty on her","['comment', 'give', 'kushina', 'look', 'pretty']"
comment: the sadness in her eyes,"['comment', 'sadness', 'eye']"
comment: ,['comment']
comment: noooooooooooooooooooooo,"['comment', 'noooooooooooooooooooooo']"
comment: shes staying strong on stream,"['comment', 'shes', 'stay', 'strong', 'stream']"
comment: it will be tough,"['comment', 'tough']"
"comment: hope she get better soon
and the way she makes everything looks ok aswell respect","['comment', 'hope', 'get', 'better', 'soon', 'way', 'make', 'everything', 'look', 'ok', 'aswell', 'respect']"
comment: nooooo before technoblade now kydae why is this world like this,"['comment', 'nooooo', 'technoblade', 'kydae', 'world', 'like']"
comment: i see kushina uzumaki,"['comment', 'see', 'kushina', 'uzumaki']"
comment: why cover it up with a wig immediately i dont get women,"['comment', 'cover', 'wig', 'immediately', 'dont', 'get', 'women']"
comment: man she is just the sweetest this world is fucking unfair,"['comment', 'man', 'sweetest', 'world', 'fuck', 'unfair']"
comment: amazing that shes excited for wig shopping really badass,"['comment', 'amaze', 'shes', 'excite', 'wig', 'shop', 'really', 'badass']"
comment: im not really religious but when it comes to cancer patients i really wish there was a higher power im glad she tries to have a little fun with wig shopping at least,"['comment', 'im', 'really', 'religious', 'come', 'cancer', 'patients', 'really', 'wish', 'higher', 'power', 'im', 'glad', 'try', 'little', 'fun', 'wig', 'shop', 'least']"
comment: be strong,"['comment', 'strong']"
"comment: if kyedae is strong with it so are we 

and dont you dare tear up","['comment', 'kyedae', 'strong', 'dont', 'dare', 'tear']"
comment: please dont die,"['comment', 'please', 'dont', 'die']"
comment: i also went bald last month because of health issues at first it was embarassing but i quite like it now it feels clean and neat though i cant relate to kyedaes pain because im a boy,"['comment', 'also', 'go', 'bald', 'last', 'month', 'health', 'issue', 'first', 'embarassing', 'quite', 'like', 'feel', 'clean', 'neat', 'though', 'cant', 'relate', 'kyedaes', 'pain', 'im', 'boy']"
comment: im just another she wanted to cry but she so strong comment,"['comment', 'im', 'another', 'want', 'cry', 'strong', 'comment']"
comment: she remind me of naruto mother kushinait look so beautiful,"['comment', 'remind', 'naruto', 'mother', 'kushinait', 'look', 'beautiful']"
comment: i am misogynist but she is so kind hearted pure and loyal she is among the few women i respect from my heart i hope she recovers soon if this was a kardashian tryna cry i would be enjoying myself a glass of wine,"['comment', 'misogynist', 'kind', 'hearted', 'pure', 'loyal', 'among', 'women', 'respect', 'heart', 'hope', 'recover', 'soon', 'kardashian', 'tryna', 'cry', 'would', 'enjoy', 'glass', 'wine']"
comment: show that bald head broo,"['comment', 'show', 'bald', 'head', 'broo']"
comment: bro i fucking died when someone said saitama cosplay,"['comment', 'bro', 'fuck', 'die', 'someone', 'say', 'saitama', 'cosplay']"
comment: she is beautiful even with the wig,"['comment', 'beautiful', 'even', 'wig']"
comment: i hope she can get better,"['comment', 'hope', 'get', 'better']"
comment: keep fghting kyedae,"['comment', 'keep', 'fghting', 'kyedae']"
comment: uzumaki kushina,"['comment', 'uzumaki', 'kushina']"
comment: just letting everyone know that i was here when shes fighting cancer and her recovery  soon,"['comment', 'let', 'everyone', 'know', 'shes', 'fight', 'cancer', 'recovery', 'soon']"
